author,poem,words,characters
A. MARVELL.,What may not others fear,5,24
A. MARVELL.,"But, from this valour, sad",5,26
A. MARVELL.,"The English hunter him mistake,",5,31
A. MARVELL.,And for the last effect,5,23
A. MARVELL.,Still keep the sword erect:,5,27
A. MARVELL.,"A power, must it maintain.",5,26
J. MILTON.,And with forced fingers rude,5,28
J. MILTON.,So may some gentle Muse,5,23
J. MILTON.,"And as he passes, turn",5,22
J. MILTON.,"Temper'd to the oaten flute,",5,28
J. MILTON.,"And all their echoes, mourn.",5,28
J. MILTON.,When first the white-thorn blows;,5,33
J. MILTON.,Ay me! I fondly dream—,5,22
J. MILTON.,"Whom universal nature did lament,",5,33
J. MILTON.,Nor in the glistering foil,5,26
J. MILTON.,"But now my oat proceeds,",5,24
J. MILTON.,That came in Neptune's plea;,5,28
J. MILTON.,Whether beyond the stormy Hebrides,5,34
F. BEAUMONT.,Think how many royal bones,5,26
F. BEAUMONT.,Here's an acre sown indeed,5,26
F. BEAUMONT.,With the richest royallest seed,5,31
F. BEAUMONT.,"Here are sands, ignoble things,",5,31
J. SHIRLEY.,Though you bind-in every shore,5,30
J. SHIRLEY.,"Devouring Famine, Plague, and War,",5,34
J. SHIRLEY.,"Each able to undo mankind,",5,26
J. SHIRLEY.,"Nor to these alone confined,",5,28
J. SHIRLEY.,"Are shadows, not substantial things;",5,36
J. SHIRLEY.,Upon Death's purple altar now,5,29
J. SHIRLEY.,See where the victor-victim bleeds:,5,35
SIR H. WOTTON.,That serveth not another's will;,5,32
SIR H. WOTTON.,Or vice; Who never understood,5,29
SIR H. WOTTON.,Nor ruin make accusers great;,5,29
SIR H. WOTTON.,And entertains the harmless day,5,31
B. JONSON.,A lily of a day,5,15
B. JONSON.,"Is fairer far in May,",5,21
G. HERBERT.,Rest in the bottom lay.,5,23
G. HERBERT.,So both should losers be.,5,25
H. VAUGHAN.,Before I understood this place,5,30
H. VAUGHAN.,"Appointed for my second race,",5,29
H. VAUGHAN.,"But a white, celestial thought;",5,31
J. MILTON.,"On smoother, till Favonius re-inspire",5,37
B. JONSON.,Seated in thy silver chair,5,26
B. JONSON.,State in wonted manner keep:,5,28
B. JONSON.,Cynthia's shining orb was made,5,30
B. JONSON.,Give unto the flying hart,5,25
R. CRASHAW.,Lock'd up from mortal eye,5,25
R. CRASHAW.,In shady leaves of destiny:,5,27
R. CRASHAW.,"Of studied Fate stand forth,",5,28
R. CRASHAW.,"—Meet you her, my Wishes,",5,25
R. CRASHAW.,"Bespeak her to my blisses,",5,26
R. CRASHAW.,"By its own beauty drest,",5,24
R. CRASHAW.,Out of no other shop,5,20
R. CRASHAW.,"Of sweet discourse, whose powers",5,32
R. CRASHAW.,Can make day's forehead bright,5,30
R. CRASHAW.,"Of darkness, by the light",5,25
R. CRASHAW.,"A challenge to his end,",5,23
R. CRASHAW.,"That Her, whose radiant brows",5,29
R. CRASHAW.,Lo! I unclothe and clear,5,24
R. CRASHAW.,Such worth as this is,5,21
R. CRASHAW.,"Shall fix my flying wishes,",5,27
R. CRASHAW.,And determine them to kisses.,5,29
R. CRASHAW.,"My fancies, fly before ye;",5,26
ANON.,"Under floods that are deepest,",5,30
ANON.,Over rocks that are steepest,5,28
ANON.,When there is no place,5,22
ANON.,For the glow-worm to lie;,5,25
ANON.,When there is no space,5,22
ANON.,For receipt of a fly;,5,21
ANON.,Lest herself fast she lay;,5,26
ANON.,A child for his might;,5,22
ANON.,Or you may deem him,5,19
ANON.,A coward from his flight;,5,25
ANON.,"Be conceal'd from the day,",5,26
ANON.,Some think to lose him,5,22
ANON.,"And some do suppose him,",5,24
ANON.,"Poor thing, to be blind;",5,24
ANON.,Will find out his way.,5,22
ANON.,You may train the eagle,5,23
ANON.,To stoop to your fist;,5,22
ANON.,The phoenix of the east;,5,24
ANON.,To give o'er her prey;,5,22
SIR C. SEDLEY.,Your infant beauty could beget,5,30
SIR C. SEDLEY.,"And praised the coming day,",5,27
SIR C. SEDLEY.,Would take my rest away.,5,24
SIR C. SEDLEY.,Like metals in a mine;,5,22
SIR C. SEDLEY.,Than youth conceal'd in thine.,5,30
SIR C. SEDLEY.,But as your charms insensibly,5,29
SIR C. SEDLEY.,And center'd in my breast.,5,26
SIR C. SEDLEY.,While Cupid at my heart,5,23
SIR C. SEDLEY.,Threw a new flaming dart:,5,25
SIR C. SEDLEY.,"To make a lover, he",5,19
SIR C. SEDLEY.,"To make a beauty, she.",5,22
R. HERRICK.,Old Time is still a-flying:,5,27
R. HERRICK.,And nearer he's to setting.,5,27
R. HERRICK.,"Times, still succeed the former.",5,32
R. HERRICK.,You may for ever tarry.,5,23
COLONEL LOVELACE.,Yet this inconstancy is such,5,28
COLONEL LOVELACE.,As you too shalt adore;,5,23
COLONEL LOVELACE.,Loved I not Honour more.,5,24
SIR H. WOTTON.,Which poorly satisfy our eyes,5,29
SIR H. WOTTON.,"Ye violets that first appear,",5,29
J. MILTON.,"At Chaeronia, fatal to liberty,",5,31
ANON.,"Than summer winds a-wooing flowers,",5,35
ANON.,My earthly Comforter! whose love,5,32
T. CAREW.,"Or a coral lip admires,",5,23
T. CAREW.,Fuel to maintain his fires;,5,27
T. CAREW.,"Gentle thoughts, and calm desires,",5,34
T. CAREW.,"Hearts with equal love combined,",5,32
E. WALLER.,Thou must have uncommended died.,5,32
E. WALLER.,"Suffer herself to be desired,",5,29
B. JONSON.,Doth ask a drink divine;,5,24
B. JONSON.,Not so much honouring thee,5,26
B. JONSON.,It could not wither'd be;,5,25
B. JONSON.,Not of itself but thee!,5,23
ANON.,Till Cherry-Ripe themselves do cry.,5,35
ANON.,Those cherries fairly do enclose,5,32
ANON.,Till Cherry-Ripe themselves do cry.,5,35
ANON.,—Till Cherry-Ripe themselves do cry!,5,36
R. HERRICK.,Kindles in clothes a wantonness:—,5,33
R. HERRICK.,"A cuff neglectful, and thereby",5,30
R. HERRICK.,"A winning wave, deserving note,",5,31
R. HERRICK.,I see a wild civility;—,5,23
R. HERRICK.,That liquefaction of her clothes.,5,33
ANON.,"For Winter, Spring, and Summer.",5,31
ANON.,No beauty she doth miss,5,23
ANON.,But Beauty's self she is,5,24
R. HERRICK.,A loving heart to thee.,5,23
R. HERRICK.,"The very eyes of me,",5,20
ANON.,"Nor for any outward part,",5,25
ANON.,To doat upon me ever!,5,21
SIR C. SEDLEY.,Or better than the rest;,5,24
SIR C. SEDLEY.,By every thought I have;,5,24
SIR C. SEDLEY.,Thy heart I only crave.,5,23
SIR C. SEDLEY.,The handsome and the kind.,5,26
SIR C. SEDLEY.,And still make love anew?,5,25
SIR C. SEDLEY.,'Tis easy to be true.,5,21
COLONEL LOVELACE.,When Love with unconfinéd wings,5,31
COLONEL LOVELACE.,And my divine Althea brings,5,27
COLONEL LOVELACE.,To whisper at the grates;,5,25
COLONEL LOVELACE.,"And fetter'd to her eye,",5,24
COLONEL LOVELACE.,Our hearts with loyal flames;,5,29
COLONEL LOVELACE.,With shriller throat shall sing,5,31
COLONEL LOVELACE.,And glories of my King;,5,23
COLONEL LOVELACE.,Nor iron bars a cage;,5,21
COLONEL LOVELACE.,Minds innocent and quiet take,5,29
COLONEL LOVELACE.,"Angels alone, that soar above,",5,30
COLONEL LOVELACE.,You or I were alone;,5,20
COLONEL LOVELACE.,All time and space controls:,5,28
COLONEL LOVELACE.,So then we do anticipate,5,24
COLONEL LOVELACE.,Can speak like spirits unconfined,5,33
A. COWLEY.,In sounds that may prevail;,5,27
A. COWLEY.,Sounds that gentle thoughts inspire:,5,36
A. COWLEY.,And I so lowly be,5,17
A. COWLEY.,Hark! how the strings awake:,5,28
A. COWLEY.,Now all thy forces try;,5,23
A. COWLEY.,Now all thy charms apply;,5,25
A. COWLEY.,Weak Lyre! thy virtue sure,5,26
A. COWLEY.,"Sleep, sleep again my Lyre!",5,27
A. COWLEY.,"In sounds that will prevail,",5,28
A. COWLEY.,"Bid thy strings silent lie,",5,27
G. WITHER.,"Shall I, wasting in despair,",5,28
G. WITHER.,Die because a woman's fair?,5,27
G. WITHER.,Or a well disposéd nature,5,25
G. WITHER.,Joinéd with a lovely feature?,5,29
G. WITHER.,"Be she meeker, kinder, than",5,27
G. WITHER.,Shall a woman's virtues move,5,28
G. WITHER.,Or her merit's value known,5,26
J. FLETCHER.,"Hence, all you vain delights,",5,29
J. FLETCHER.,Wherein you spend your folly,5,28
J. FLETCHER.,"A sigh that piercing mortifies,",5,31
J. FLETCHER.,Places which pale passion loves!,5,32
SIR W. SCOTT.,As in that well-remember'd night,5,32
SIR W. SCOTT.,Then—from the carcase turn away!,5,32
ANON.,And waly waly yon burn-side,5,27
ANON.,And I mysell in cramasie.,5,25
ANON.,And died to succour me!,5,23
ANON.,"O Helen fair, beyond compare!",5,29
ANON.,Until the day I die.,5,20
ANON.,"His lady's ta'en another mate,",5,30
R. HERRICK.,"To blush and gently smile,",5,26
R. HERRICK.,An hour or half's delight;,5,26
R. HERRICK.,And so to bid good-night?,5,25
R. HERRICK.,"Merely to show your worth,",5,26
R. HERRICK.,"Like you, awhile, they glide",5,28
R. HERRICK.,You haste away so soon,5,22
R. HERRICK.,As yet the early-rising Sun,5,27
R. HERRICK.,Has not attain'd his noon.,5,26
R. HERRICK.,"And, having pray'd together, we",5,31
R. HERRICK.,Will go with you along.,5,23
R. HERRICK.,"As you, or any thing.",5,21
R. HERRICK.,Like to the summer's rain;,5,26
R. HERRICK.,Ne'er to be found again.,5,24
A. MARVELL.,How vainly men themselves amaze,5,31
A. MARVELL.,And their incessant labours see,5,31
A. MARVELL.,Whose short and narrow-vergéd shade,5,35
A. MARVELL.,Does prudently their toils upbraid;,5,35
A. MARVELL.,And Innocence thy sister dear?,5,30
A. MARVELL.,In busy companies of men:,5,25
A. MARVELL.,Society is all but rude,5,23
A. MARVELL.,The nectarine and curious peach,5,31
A. MARVELL.,"Yet it creates, transcending these,",5,35
A. MARVELL.,Casting the body's vest aside,5,29
A. MARVELL.,Such was that happy Garden-state,5,32
A. MARVELL.,"Two paradises are in one,",5,25
A. MARVELL.,To live in Paradise alone.,5,26
J. MILTON.,Find out some uncouth cell,5,26
J. MILTON.,"As ragged as thy locks,",5,23
J. MILTON.,"And by men, heart-easing Mirth,",5,31
J. MILTON.,With two sister Graces more,5,27
J. MILTON.,"So buxom, blithe, and debonair.",5,31
J. MILTON.,"Sport that wrinkled Care derides,",5,33
J. MILTON.,On the light fantastic toe;,5,27
J. MILTON.,Stoutly struts his dames before:,5,32
J. MILTON.,"Cheerly rouse the slumbering morn,",5,34
J. MILTON.,Right against the eastern gate,5,30
J. MILTON.,"Whistles o'er the furrow'd land,",5,32
J. MILTON.,"And the milkmaid singeth blithe,",5,32
J. MILTON.,"Russet lawns, and fallows gray,",5,31
J. MILTON.,"Mountains, on whose barren breast",5,33
J. MILTON.,Meadows trim with daisies pied;,5,31
J. MILTON.,"Shallow brooks, and rivers wide;",5,32
J. MILTON.,Towers and battlements it sees,5,30
J. MILTON.,"Bosom'd high in tufted trees,",5,29
J. MILTON.,"Where perhaps some Beauty lies,",5,31
J. MILTON.,The Cynosure of neighbouring eyes.,5,34
J. MILTON.,"From betwixt two aged oaks,",5,27
J. MILTON.,"Where Corydon and Thyrsis, met",5,30
J. MILTON.,Which the neat-handed Phyllis dresses;,5,38
J. MILTON.,"The upland hamlets will invite,",5,31
J. MILTON.,And the jocund rebecks sound,5,28
J. MILTON.,Dancing in the chequer'd shade;,5,31
J. MILTON.,Till the live-long day-light fail:,5,34
J. MILTON.,"Tower'd cities please us then,",5,30
J. MILTON.,There let Hymen oft appear,5,26
J. MILTON.,"With mask, and antique pageantry;",5,33
J. MILTON.,"Or sweetest Shakspeare, Fancy's child,",5,38
J. MILTON.,Warble his native wood-notes wild.,5,34
J. MILTON.,"And ever against eating cares,",5,30
J. MILTON.,The hidden soul of harmony;,5,27
J. MILTON.,"Dwell in some idle brain,",5,25
J. MILTON.,Prince Memnon's sister might beseem.,5,36
J. MILTON.,"Of woody Ida's inmost grove,",5,28
J. MILTON.,Over thy decent shoulders drawn:,5,32
J. MILTON.,"Forget thyself to marble, till",5,30
J. MILTON.,"In her sweetest saddest plight,",5,31
J. MILTON.,Gently o'er the accustom'd oak.,5,31
J. MILTON.,"On the dry smooth-shaven green,",5,31
J. MILTON.,"To behold the wandering moon,",5,29
J. MILTON.,"Riding near her highest noon,",5,29
J. MILTON.,Stooping through a fleecy cloud.,5,32
J. MILTON.,Swinging slow with sullen roar;,5,31
J. MILTON.,Or the bellman's drowsy charm,5,29
J. MILTON.,"With thrice-great Hermes, or unsphere",5,37
J. MILTON.,"With planet, or with element.",5,29
J. MILTON.,"Presenting Thebes, or Pelops' line,",5,35
J. MILTON.,Ennobled hath the buskin'd stage.,5,33
J. MILTON.,"The story of Cambuscan bold,",5,28
J. MILTON.,"Of Camball, and of Algarsife,",5,29
J. MILTON.,"Of forests, and enchantments drear,",5,35
J. MILTON.,Ending on the rustling leaves,5,29
J. MILTON.,"Of pine, or monumental oak,",5,27
J. MILTON.,Softly on my eyelids laid:,5,26
J. MILTON.,"And love the high-embowéd roof,",5,31
J. MILTON.,"With antique pillars massy proof,",5,33
J. MILTON.,And storied windows richly dight,5,32
J. MILTON.,Casting a dim religious light:,5,30
J. MILTON.,To the full-voiced quire below,5,30
J. MILTON.,"Find out the peaceful hermitage,",5,32
J. MILTON.,Till old experience do attain,5,29
J. MILTON.,To something like prophetic strain.,5,35
A. MARVELL.,Where the remote Bermudas ride,5,30
A. MARVELL.,"In the ocean's bosom unespied,",5,30
A. MARVELL.,Proclaim the ambergris on shore.,5,32
A. MARVELL.,Which then perhaps rebounding may,5,33
A. MARVELL.,"Echo beyond the Mexique bay!""",5,29
J. MILTON.,"To Him that sits thereon,",5,25
J. MILTON.,Their loud uplifted angel-trumpets blow;,5,40
J. MILTON.,Hymns devout and holy psalms,5,28
J. DRYDEN.,The song began from Jove,5,24
J. DRYDEN.,Flush'd with a purple grace,5,27
J. DRYDEN.,He shows his honest face:,5,25
J. DRYDEN.,"Bacchus, ever fair and young,",5,29
J. DRYDEN.,Drinking joys did first ordain;,5,31
J. DRYDEN.,"Bacchus' blessings are a treasure,",5,34
J. DRYDEN.,Drinking is the soldier's pleasure:,5,35
J. DRYDEN.,Sweet is pleasure after pain.,5,29
J. DRYDEN.,He chose a mournful Muse,5,24
J. DRYDEN.,By too severe a fate,5,20
J. DRYDEN.,"Fallen from his high estate,",5,28
J. DRYDEN.,And weltering in his blood;,5,27
J. DRYDEN.,"Deserted, at his utmost need,",5,29
J. DRYDEN.,Revolving in his alter'd soul,5,29
J. DRYDEN.,And tears began to flow.,5,24
J. DRYDEN.,"Softly sweet, in Lydian measures,",5,33
J. DRYDEN.,"Honour but an empty bubble,",5,27
J. DRYDEN.,"Fighting still, and still destroying;",5,37
J. DRYDEN.,"Lovely Thais sits beside thee,",5,30
J. DRYDEN.,"Hark, hark! the horrid sound",5,28
J. DRYDEN.,Has raised up his head:,5,23
J. DRYDEN.,"As awaked from the dead,",5,24
J. DRYDEN.,And amazed he stares around.,5,28
J. DRYDEN.,"While organs yet were mute,",5,27
J. DRYDEN.,"Timotheus, to his breathing flute",5,33
J. DRYDEN.,"At last divine Cecilia came,",5,28
J. DRYDEN.,Inventress of the vocal frame;,5,30
J. DRYDEN.,"Enlarged the former narrow bounds,",5,34
J. DRYDEN.,Or both divide the crown;,5,25
J. DRYDEN.,She drew an angel down!,5,23
T. GRAY.,Now the golden Morn aloft,5,25
T. GRAY.,She woos the tardy Spring:,5,26
T. GRAY.,"Scatters his freshest, tenderest green.",5,39
T. GRAY.,"New-born flocks, in rustic dance,",5,33
T. GRAY.,Frisking ply their feeble feet;,5,31
T. GRAY.,Forgetful of their wintry trance,5,32
T. GRAY.,The birds his presence greet:,5,29
T. GRAY.,Saw the snowy whirlwind fly;,5,28
T. GRAY.,The herd stood drooping by:,5,27
T. GRAY.,No yesterday nor morrow know;,5,29
T. GRAY.,With forward and reverted eyes.,5,31
T. GRAY.,Smiles on past Misfortune's brow,5,32
T. GRAY.,"Soft Reflection's hand can trace,",5,33
T. GRAY.,"Still, where rosy Pleasure leads,",5,33
T. GRAY.,See a kindred Grief pursue;,5,27
T. GRAY.,And breathe and walk again:,5,27
T. GRAY.,To him are opening Paradise.,5,28
A. POPE.,"A few paternal acres bound,",5,27
A. POPE.,"Blest, who can unconcern'dly find",5,33
A. POPE.,Thus unlamented let me die;,5,27
C. CIBBER.,Which I must ne'er enjoy;,5,25
C. CIBBER.,Whene'er I sleep or play;,5,25
C. CIBBER.,With me 'twere always day.,5,26
C. CIBBER.,You mourn my hapless woe;,5,25
C. CIBBER.,My cheer of mind destroy:,5,25
C. CIBBER.,Although a poor blind boy.,5,26
T. GRAY.,"The azure flowers that blow,",5,28
T. GRAY.,Demurest of the tabby kind,5,26
T. GRAY.,Gazed on the lake below.,5,24
T. GRAY.,"The velvet of her paws,",5,23
T. GRAY.,"She saw, and purr'd applause.",5,29
T. GRAY.,The Genii of the stream:,5,24
T. GRAY.,Their scaly armour's Tyrian hue,5,31
T. GRAY.,With many an ardent wish,5,24
T. GRAY.,What cat's averse to fish?,5,26
T. GRAY.,Presumptuous maid! with looks intent,5,36
T. GRAY.,Nor knew the gulf between—,5,26
T. GRAY.,Some speedy aid to send:—,5,25
T. GRAY.,A favourite has no friend!,5,26
T. GRAY.,"From hence, ye Beauties! undeceived",5,35
T. GRAY.,And be with caution bold:,5,25
T. GRAY.,"Nor all that glisters, gold!",5,28
A. PHILIPS.,"Fondling of a happy pair,",5,25
A. PHILIPS.,Every morn and every night,5,26
A. PHILIPS.,"Sleeping, waking, still at ease,",5,32
A. PHILIPS.,"Pleasing, without skill to please",5,33
A. PHILIPS.,"Little gossip, blithe and hale,",5,31
A. PHILIPS.,"Tattling many a broken tale,",5,28
A. PHILIPS.,Singing many a tuneless song.,5,29
A. PHILIPS.,Lavish of a heedless tongue;,5,28
A. PHILIPS.,"Simple maiden, void of art,",5,27
A. PHILIPS.,"Babbling out the very heart,",5,28
A. PHILIPS.,"Yet abandon'd to thy will,",5,26
A. PHILIPS.,"Yet too innocent to blush,",5,26
A. PHILIPS.,"Chirping forth thy petty joys,",5,30
A. PHILIPS.,Flitting to each bloomy spray;,5,30
A. PHILIPS.,This thy present happy lot,5,26
A. PHILIPS.,"This picture, once, resembled thee.",5,35
J. THOMSON.,Britons never shall be slaves.,5,30
J. THOMSON.,Britons never shall be slaves!,5,30
T. GRAY.,"""Ruin seize thee, ruthless King!",5,32
T. GRAY.,Confusion on thy banners wait!,5,30
T. GRAY.,"Helm, nor hauberk's twisted mail",5,32
T. GRAY.,That hush'd the stormy main;,5,28
T. GRAY.,"Mountains, ye mourn in vain",5,27
T. GRAY.,Avengers of their native land:,5,30
T. GRAY.,The winding-sheet of Edward's race:,5,35
T. GRAY.,Shrieks of an agonising king!,5,29
T. GRAY.,Is the sable warrior fled?,5,26
T. GRAY.,"""Fill high the sparkling bowl,",5,30
T. GRAY.,Close by the regal chair,5,24
T. GRAY.,Fell Thirst and Famine scowl,5,28
T. GRAY.,Wallows beneath the thorny shade.,5,33
T. GRAY.,"""Edward, lo! to sudden fate",5,27
T. GRAY.,"Her lion-port, her awe-commanding face",5,38
T. GRAY.,"Fierce War and faithful Love,",5,29
T. GRAY.,"Pale Grief, and pleasing Pain,",5,30
T. GRAY.,"Gales from blooming Eden bear,",5,30
W. COLLINS.,And Freedom shall awhile repair,5,31
R. BURNS.,"The lovely lass o' Inverness,",5,29
R. BURNS.,"Their winding-sheet the bluidy clay,",5,36
J. LOGAN.,"He promised me a wedding-ring,—",5,31
J. LOGAN.,The wedding-day was fix'd to-morrow;—,5,37
J. LOGAN.,"Thrice did the water-wraith ascend,",5,35
J. LOGAN.,His little sister weeping walk'd,5,32
ANON.,"Where bonnie grows the lily,",5,28
ANON.,"""Willie's rare, and Willie's fair,",5,34
ANON.,Gin e'er he married ony.,5,24
ANON.,"From where my Love repaireth,",5,29
ANON.,"And hear the mavis singing,",5,27
ANON.,And leaves around them hinging.,5,31
ANON.,And gentle throat sae narrow;,5,29
ANON.,There's sport eneuch for gentlemen,5,34
ANON.,On Leader haughs and Yarrow.,5,28
ANON.,And Yarrow haughs are bonny;,5,28
ANON.,If e'er he married ony.,5,23
ANON.,When other maids are sleeping.,5,30
W. COWPER.,All sunk beneath the wave,5,25
W. COWPER.,Fast by their native shore!,5,27
W. COWPER.,Eight hundred of the brave,5,26
W. COWPER.,"Whose courage well was tried,",5,29
W. COWPER.,Had made the vessel heel,5,24
W. COWPER.,A land-breeze shook the shrouds,5,31
W. COWPER.,"Down went the Royal George,",5,27
W. COWPER.,With all her crew complete.,5,27
W. COWPER.,"His last sea-fight is fought,",5,29
W. COWPER.,His work of glory done.,5,23
W. COWPER.,No tempest gave the shock;,5,26
W. COWPER.,"She sprang no fatal leak,",5,25
W. COWPER.,She ran upon no rock.,5,21
W. COWPER.,"His fingers held the pen,",5,25
W. COWPER.,With twice four hundred men.,5,28
W. COWPER.,Once dreaded by our foes!,5,25
W. COWPER.,And mingle with our cup,5,23
W. COWPER.,The tear that England owes.,5,27
W. COWPER.,"Her timbers yet are sound,",5,26
W. COWPER.,And she may float again,5,23
W. COWPER.,"Full charged with England's thunder,",5,36
W. COWPER.,And plough the distant main:,5,28
J. GAY.,When black-eyed Susan came aboard;,5,34
J. GAY.,"""O Susan, Susan, lovely dear,",5,29
H. CAREY.,There's none like pretty Sally;,5,31
H. CAREY.,"Her father he makes cabbage-nets,",5,33
H. CAREY.,I love her so sincerely;,5,24
H. CAREY.,And bangs me most severely—,5,27
H. CAREY.,To walk abroad with Sally:,5,26
H. CAREY.,And often am I blamed,5,21
H. CAREY.,And slink away to Sally;,5,24
H. CAREY.,"When Christmas comes about again,",5,33
H. CAREY.,"O then I'll marry Sally,—",5,25
H. CAREY.,But not in our alley!,5,21
GRAHAM OF GARTMORE,Thy picture in my heart;,5,24
GRAHAM OF GARTMORE,Tho' ne'er another trow me.,5,27
GRAHAM OF GARTMORE,I'll dight me in array;,5,23
GRAHAM OF GARTMORE,I never broke a vow;,5,20
GRAHAM OF GARTMORE,I never loved but you.,5,22
GRAHAM OF GARTMORE,Tho' ne'er another trow me.,5,27
W. COWPER.,"With gentle yet prevailing force,",5,33
W. COWPER.,Intent upon her destined course;,5,32
W. COWPER.,"Pure-bosom'd as that watery glass,",5,34
S. ROGERS.,Sleep on secure! Above controul,5,31
J. THOMSON.,"An unrelenting foe to Love,",5,27
J. THOMSON.,"All other blessings I resign,",5,29
M. PRIOR,When Cloe noted her desire,5,26
M. PRIOR,Fair Cloe blush'd: Euphelia frown'd:,5,36
R. BURNS.,That sings upon the bough;,5,26
R. BURNS.,That sings beside thy mate;,5,27
R. BURNS.,"To see the woodbine twine,",5,26
R. BURNS.,Frae aff its thorny tree;,5,25
T. GRAY.,"Deep, majestic, smooth, and strong,",5,35
T. GRAY.,"Headlong, impetuous, see it pour:",5,33
T. GRAY.,Enchanting shell! the sullen Cares,5,34
T. GRAY.,Perching on the sceptred hand,5,29
T. GRAY.,Temper'd to thy warbled lay.,5,28
T. GRAY.,The rosy-crownéd Loves are seen,5,31
T. GRAY.,Frisking light in frolic measures;,5,34
T. GRAY.,"Disease, and Sorrow's weeping train,",5,36
T. GRAY.,"Of Chili's boundless forests laid,",5,34
T. GRAY.,In loose numbers wildly sweet,5,29
T. GRAY.,"Glory pursue, and generous Shame,",5,33
T. GRAY.,Fields that cool Ilissus laves,5,30
T. GRAY.,Or where Maeander's amber waves,5,31
T. GRAY.,Where each old poetic mountain,5,30
T. GRAY.,Every shade and hallow'd fountain,5,33
T. GRAY.,Murmur'd deep a solemn sound:,5,29
T. GRAY.,Richly paint the vernal year:,5,29
T. GRAY.,Upon the seraph-wings of Ecstasy,5,32
T. GRAY.,"The living Throne, the sapphire-blaze",5,37
T. GRAY.,Two coursers of ethereal race,5,29
T. GRAY.,Scatters from her pictured urn,5,30
T. GRAY.,"That the Theban Eagle bear,",5,27
W. COLLINS.,Throng'd around her magic cell,5,30
W. COLLINS.,Possest beyond the Muse's painting;,5,35
W. COLLINS.,"Fill'd with fury, rapt, inspired,",5,33
W. COLLINS.,From the supporting myrtles round,5,33
W. COLLINS.,"Amid the chords bewilder'd laid,",5,32
W. COLLINS.,With woeful measures wan Despair—,5,33
W. COLLINS.,What was thy delighted measure?,5,31
W. COLLINS.,Still it whisper'd promised pleasure,5,36
W. COLLINS.,And with a withering look,5,25
W. COLLINS.,Dejected Pity at his side,5,25
W. COLLINS.,Bubbling runnels join'd the sound;,5,34
W. COLLINS.,"Round an holy calm diffusing,",5,29
W. COLLINS.,In hollow murmurs died away.,5,28
W. COLLINS.,Brown Exercise rejoiced to hear;,5,32
W. COLLINS.,Last came Joy's ecstatic trial:,5,31
W. COLLINS.,"He, with viny crown advancing,",5,30
W. COLLINS.,To some unwearied minstrel dancing;,5,35
W. COLLINS.,"Friend of Pleasure, Wisdom's aid!",5,33
W. COLLINS.,"You learn'd an all-commanding power,",5,36
W. COLLINS.,"Devote to Virtue, Fancy, Art?",5,29
W. COLLINS.,Fill thy recording Sister's page;—,5,34
W. COLLINS.,Cecilia's mingled world of sound:—,5,34
T. GRAY.,"Lo! where the rosy-bosom'd Hours,",5,33
T. GRAY.,And wake the purple year!,5,25
T. GRAY.,"Responsive to the cuckoo's note,",5,32
T. GRAY.,The untaught harmony of Spring:,5,31
T. GRAY.,Beside some water's rushy brink,5,31
T. GRAY.,Some show their gaily-gilded trim,5,33
T. GRAY.,Shall end where they began.,5,27
T. GRAY.,In Fortune's varying colours drest:,5,35
T. GRAY.,No painted plumage to display:,5,30
T. GRAY.,We frolic while 'tis May.,5,25
R. BURNS.,"Wee, sleekit, cow'rin', tim'rous beastie,",5,41
R. BURNS.,"I'm truly sorry man's dominion,",5,31
R. BURNS.,"Has broken nature's social union,",5,33
R. BURNS.,An' justifies that ill opinion,5,30
R. BURNS.,And bleak December's winds ensuin',5,34
R. BURNS.,"And weary winter comin' fast,",5,29
R. BURNS.,The present only toucheth thee:,5,31
S. ROGERS.,In russet-gown and apron blue.,5,30
S. ROGERS.,"The village-church among the trees,",5,35
W. COLLINS.,"Like thy own solemn springs,",5,28
W. COLLINS.,"Thy springs, and dying gales;",5,29
W. COLLINS.,Or where the beetle winds,5,25
W. COLLINS.,"His small but sullen horn,",5,26
W. COLLINS.,"Now teach me, maid composed,",5,28
W. COLLINS.,To breathe some soften'd strain,5,31
W. COLLINS.,As musing slow I hail,5,21
W. COLLINS.,"The fragrant Hours, and Elves",5,29
W. COLLINS.,Whose walls more awful nod,5,26
W. COLLINS.,"That, from the mountain's side",5,30
W. COLLINS.,"Views wilds and swelling floods,",5,32
W. COLLINS.,While Summer loves to sport,5,27
W. COLLINS.,And rudely rends thy robes;,5,27
W. COLLINS.,And love thy favourite name!,5,28
T. GRAY.,Molest her ancient solitary reign.,5,34
T. GRAY.,Await alike th' inevitable hour:—,5,33
R. BURNS.,"""Ye are na Mary Morison.""",5,25
R. BURNS.,A thought ungentle canna be,5,27
R. BURNS.,The thought o' Mary Morison.,5,28
R. BURNS.,O saw ye bonnie Lesley,5,22
R. BURNS.,To spread her conquests farther.,5,32
R. BURNS.,And ne'er made sic anither!,5,27
R. BURNS.,"Thy subjects we, before thee;",5,29
R. BURNS.,"Thou art divine, fair Lesley,",5,29
R. BURNS.,Misfortune sha' na steer thee;,5,30
R. BURNS.,Thou'rt like themselves sae lovely,5,34
R. BURNS.,There's nane again sae bonnie.,5,30
R. BURNS.,That's newly sprung in June:,5,28
R. BURNS.,That's sweetly play'd in tune.,5,30
R. BURNS.,And there the langest tarry;,5,28
R. BURNS.,O' my sweet Highland Mary.,5,26
